,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
367,zhezqazghan,47.7833,67.7667,18.32,34,0,4.0,KZ,1686962618
368,lusaka,-15.4067,28.2871,9.14,66,0,1.54,ZM,1686962619
369,micheweni,-4.9667,39.8333,25.09,78,19,5.15,TZ,1686962619
370,port douglas,-16.4833,145.4667,22.2,85,100,3.34,AU,1686962619
371,mount pearl,47.5166,-52.7813,7.69,98,100,4.12,CA,1686962619
372,peace river,56.2501,-117.286,20.17,39,75,8.75,CA,1686962619
373,muisne,0.6,-80.0333,25.61,83,90,3.28,EC,1686962620
374,sorong,-0.8833,131.25,27.34,75,86,1.54,ID,1686962620
375,timbiqui,2.7717,-77.6654,24.73,94,61,1.63,CO,1686962620
376,darab,28.7519,54.5444,27.31,12,0,2.45,IR,1686962620
377,usinsk,65.9939,57.5281,2.72,83,100,6.35,RU,1686962620
378,portland,45.5234,-122.6762,28.33,53,100,1.34,US,1686962072
379,remire-montjoly,4.9167,-52.2667,24.02,94,0,0.0,GF,1686962621
380,alvaraes,-3.2208,-64.8042,21.98,90,19,0.22,BR,1686962621
381,miquelon,47.0975,-56.3814,7.0,99,100,0.71,PM,1686962621
382,howrah,22.5892,88.3103,31.0,89,75,6.69,IN,1686962621
383,golpayegan,33.4537,50.2884,19.28,20,0,1.27,IR,1686962621
384,gadzhiyevo,69.2551,33.3362,3.95,72,10,3.0,RU,1686962622
385,huarmey,-10.0681,-78.1522,21.74,83,14,3.22,PE,1686962622
386,villa dolores,-31.9459,-65.1896,8.88,41,100,2.51,AR,1686962373
387,jinchang,38.4953,102.1739,24.06,23,100,6.94,CN,1686962622
388,vilhena,-12.7406,-60.1458,17.29,86,6,1.45,BR,1686962622
389,bouarfa,32.53,-1.95,26.19,24,9,0.44,MA,1686962622
390,eldorado,-23.7869,-54.2836,13.71,81,100,1.15,BR,1686962623
391,kaga bandoro,6.9896,19.1874,22.18,96,100,1.2,CF,1686962623
392,talnakh,69.4865,88.3972,6.23,73,98,3.55,RU,1686962623
393,bardai,11.65,7.2333,24.44,76,100,5.03,NG,1686962623
394,gisborne,-38.6533,178.0042,13.77,90,100,7.48,NZ,1686962623
395,peruibe,-24.32,-46.9983,15.46,75,0,3.34,BR,1686962344
396,san juan,-31.5375,-68.5364,8.11,54,0,4.09,AR,1686962624
397,sao miguel do araguaia,-13.275,-50.1628,24.15,55,5,2.39,BR,1686962624
398,puerto cabezas,14.0351,-83.3888,26.32,88,100,3.93,NI,1686962624
399,monroeville,40.4212,-79.7881,17.57,74,3,2.89,US,1686962624
400,zemio,5.0314,25.1361,19.98,98,95,0.93,CF,1686962624
401,saint-joseph,-21.3667,55.6167,21.37,73,0,0.55,RE,1686962625
402,fort st. john,56.2499,-120.8529,16.94,42,75,10.8,CA,1686962625
403,kayangel,8.0823,134.7173,27.95,78,80,5.57,PW,1686962625
404,alaghsas,17.0187,8.0168,28.44,40,99,4.91,NE,1686962625
405,charlottetown,46.2352,-63.1267,15.31,91,100,3.09,CA,1686962444
406,edson,53.5835,-116.4356,17.06,67,40,6.17,CA,1686962626
407,cove,7.221,2.3402,23.16,90,81,1.57,BJ,1686962626
408,praia da vitoria,38.7333,-27.0667,17.14,94,75,3.65,PT,1686962626
409,luau,-10.7073,22.2247,13.41,40,4,1.13,AO,1686962626
410,ontario,34.0633,-117.6509,30.55,56,40,7.72,US,1686962453
411,islamkot,24.6997,70.177,27.75,78,100,10.6,PK,1686962627
412,cabedelo,-6.9811,-34.8339,25.37,80,56,6.07,BR,1686962627
413,badger,64.8,-147.5333,23.06,35,100,5.14,US,1686962627
414,chibougamau,49.9168,-74.3659,10.79,100,100,2.57,CA,1686962603
415,chardara,41.2547,67.9692,24.2,24,24,2.22,KZ,1686962627
416,saint-pierre,-21.3393,55.4781,21.98,64,0,5.14,RE,1686962628
417,el granada,37.5027,-122.4694,26.15,76,100,9.26,US,1686962628
418,tromso,69.6496,18.957,7.01,87,40,2.57,NO,1686962564
419,port shepstone,-30.7414,30.455,14.6,61,0,3.8,ZA,1686962628
420,acapulco de juarez,16.8634,-99.8901,31.9,66,75,1.54,MX,1686962539
421,coahuayana de hidalgo,18.7,-103.6583,29.69,59,53,2.26,MX,1686962628
422,katsuren-haebaru,26.3369,127.8719,27.01,94,75,2.57,JP,1686962629
423,cururupu,-1.8283,-44.8683,24.03,92,35,0.88,BR,1686962629
424,yugorsk,61.3133,63.3319,5.69,62,6,4.7,RU,1686962629
425,sao vicente,-23.9631,-46.3919,18.1,65,0,4.36,BR,1686962624
426,mingguang,32.7802,117.9638,22.84,76,100,4.82,CN,1686962629
427,nangomba,-10.9,38.5,17.79,80,8,0.96,TZ,1686962629
428,calca,-13.3333,-71.95,13.64,87,33,2.41,PE,1686962630
429,paramonga,-10.6667,-77.8333,21.29,83,45,4.05,PE,1686962630
430,port blair,11.6667,92.75,27.02,94,40,0.0,IN,1686962630
431,ouadda,8.0777,22.4007,20.77,97,100,0.7,CF,1686962630
432,chonchi,-42.6128,-73.8092,2.84,85,9,0.86,CL,1686962630
433,shache,38.4167,77.2406,24.79,22,32,2.6,CN,1686962630
434,tanjung sepat,2.6579,101.5629,30.98,83,20,1.54,MY,1686962631
435,ballina,-28.8667,153.5667,18.21,60,25,2.0,AU,1686962631
436,caleta de carquin,-11.0925,-77.6267,21.28,81,82,4.88,PE,1686962631
437,fredericton,45.9454,-66.6656,18.47,79,0,0.0,CA,1686962631
438,kuta,-8.7233,115.1723,25.97,88,20,3.13,ID,1686962632
439,el calafate,-50.3408,-72.2768,-1.48,78,77,0.78,AR,1686962632
440,ramos arizpe,25.55,-100.9667,32.85,31,75,4.12,MX,1686962495
441,praya,14.9215,-23.5087,25.3,78,20,5.14,CV,1686962632
442,chernyshevsk,52.5243,117.0174,20.42,26,100,2.42,RU,1686962592
443,markovo,57.3206,107.0881,19.35,50,79,1.27,RU,1686962633
444,zag,46.9441,99.165,14.85,57,100,5.52,MN,1686962633
445,'ain boucif,35.8912,3.1585,20.97,45,2,2.43,DZ,1686962633
446,bardsir,29.9227,56.5743,23.46,14,0,3.44,IR,1686962633
447,hovd,48.0056,91.6419,17.07,41,82,0.56,MN,1686962634
448,quelimane,-17.8786,36.8883,20.97,94,0,2.57,MZ,1686962634
449,mtwara,-10.2667,40.1833,20.91,91,0,3.13,TZ,1686962634
450,yasnogorsk,54.4803,37.6975,14.23,73,16,2.8,RU,1686962634
451,mugumu,-1.85,34.7,17.11,91,100,1.55,TZ,1686962634
452,coruripe,-10.1256,-36.1756,23.97,86,1,1.87,BR,1686962634
453,libertad,8.9442,125.5019,29.24,69,24,2.58,PH,1686962635
454,acarau,-2.8856,-40.12,25.48,85,65,2.96,BR,1686962635
455,tafuna,-14.3358,-170.72,29.97,79,75,4.12,AS,1686962635
456,praia,14.9215,-23.5087,25.3,78,20,5.14,CV,1686962635
457,rongelap,11.1635,166.8941,26.21,85,100,4.29,MH,1686962635
458,geraldton,-28.7667,114.6,14.23,94,94,4.12,AU,1686962635
459,talcahuano,-36.7167,-73.1167,11.82,58,0,4.12,CL,1686962636
460,bechar,31.6167,-2.2167,32.18,13,0,2.57,DZ,1686962636
461,puerto santa,-8.9906,-78.6456,21.83,81,16,3.21,PE,1686962636
462,skagen,57.7209,10.5839,17.67,75,52,4.24,DK,1686962636
463,panarukan,-7.7018,113.9184,27.38,65,63,1.35,ID,1686962636
464,benguela,-12.5763,13.4055,20.46,85,55,1.99,AO,1686962636
465,zhongxiang,31.1661,112.5831,20.72,98,100,3.03,CN,1686962637
466,gillette,44.2911,-105.5022,16.73,51,100,0.89,US,1686962382
467,conceicao da barra,-18.5933,-39.7322,23.29,86,100,3.11,BR,1686962637
468,pisco,-13.7,-76.2167,20.03,77,0,4.63,PE,1686962637
469,boujniba,32.9005,-6.7746,24.78,40,0,0.99,MA,1686962637
470,sanger,36.708,-119.556,35.07,26,0,4.63,US,1686962506
471,mareeba,-17.0,145.4333,24.69,73,100,2.44,AU,1686962638
472,jeddah,21.5169,39.2192,30.92,48,0,3.09,SA,1686962638
473,lhasa,29.65,91.1,10.09,87,100,1.97,CN,1686962638
474,zalingei,12.9096,23.4741,25.88,58,99,1.02,SD,1686962638
475,sitarganj,28.9333,79.7,31.71,41,13,1.68,IN,1686962638
476,ketchikan,55.3422,-131.6461,10.26,87,100,3.6,US,1686961971
477,noshiro,40.2039,140.0242,22.46,81,39,6.03,JP,1686962639
478,kalmunai,7.4167,81.8167,27.07,76,100,3.83,LK,1686962639
479,kitui,-1.367,38.0106,15.98,88,83,2.94,KE,1686962639
480,island harbour,50.724,-1.2758,17.18,86,93,0.89,GB,1686962639
481,mil'kovo,55.6078,37.7956,17.22,64,8,2.47,RU,1686962640
482,rabo de peixe,37.8,-25.5833,19.73,94,75,4.63,PT,1686962537
483,ngereklmadel,7.4883,134.4856,25.05,88,100,1.54,PW,1686962640
484,sarupathar,26.1984,93.8094,24.13,97,91,1.43,IN,1686962640
485,kourou,5.1552,-52.6478,24.03,93,96,3.97,GF,1686962469
486,san felipe,10.3399,-68.7425,22.21,97,76,2.04,VE,1686962640
487,manaure,11.7751,-72.4445,29.06,67,100,10.42,CO,1686962641
488,tete,-16.1564,33.5867,17.92,44,0,1.05,MZ,1686962641
489,tsiombe,-25.3,45.4833,17.98,89,22,1.85,MG,1686962641
490,san antonio de pale,-1.4014,5.6325,24.82,76,100,5.28,GQ,1686962641
491,namdrik,5.5994,168.1028,26.2,86,100,6.36,MH,1686962641
492,recreo,-29.2818,-65.061,10.46,39,2,0.72,AR,1686962642
493,dalandzadgad,43.5708,104.425,23.9,30,100,10.26,MN,1686962642
494,galesong,-5.3166,119.3661,27.01,72,31,4.86,ID,1686962642
495,shumikha,55.2261,63.2961,14.46,69,2,3.06,RU,1686962642
496,gracemere,-23.4333,150.45,20.95,49,3,3.09,AU,1686962642
497,nguruka,-5.1092,31.0419,16.98,67,76,1.17,TZ,1686962642
498,goure,13.9835,10.2704,32.11,37,100,3.58,NE,1686962643
499,concepcion,-36.827,-73.0498,11.89,58,0,4.12,CL,1686962643
500,machico,32.7,-16.7667,22.62,89,20,1.03,PT,1686962643
501,gumel,12.6279,9.3912,32.14,36,7,3.18,NG,1686962643
502,labrador city,52.9463,-66.9114,5.95,93,100,4.12,CA,1686962643
503,ghat,24.9647,10.1728,29.47,23,0,2.98,LY,1686962643
504,alytus,54.4,24.05,15.63,98,100,1.23,LT,1686962644
505,villa gesell,-37.2639,-56.973,7.25,66,68,4.63,AR,1686962644
506,chilecito,-29.1619,-67.4974,7.78,47,0,1.86,AR,1686962469
507,norilsk,69.3535,88.2027,6.35,68,100,2.73,RU,1686962644
508,mana,5.6592,-53.7767,24.88,91,97,4.21,GF,1686962644
509,isabel segunda,18.1491,-65.4427,28.21,74,100,8.03,PR,1686962645
510,hami,42.8,93.45,23.69,27,85,7.47,CN,1686962645
511,tucuma,-0.1833,-50.05,24.38,91,86,2.03,BR,1686962451
512,fuyang,32.9,115.8167,24.01,63,100,2.87,CN,1686962645
513,copsa mica,46.1167,24.25,17.1,99,78,0.85,RO,1686962645
514,kingston,17.997,-76.7936,30.53,67,20,10.29,JM,1686962646
515,yoloten,37.2989,62.3597,28.24,16,0,3.1,TM,1686962646
516,ondangwa,-17.9167,15.95,13.0,22,0,2.06,NA,1686962646
517,rio grande,-32.035,-52.0986,12.06,80,100,6.84,BR,1686962646
518,stavern,59.0,10.0333,18.4,77,38,2.69,NO,1686962646
519,lhuentse,27.6679,91.1839,21.07,93,88,0.16,BT,1686962647
520,wuwei,37.9281,102.6414,24.95,25,100,9.33,CN,1686962647
521,gagliano del capo,39.8442,18.3695,17.67,72,44,9.51,IT,1686962647
522,muang phonsavan,19.45,103.2167,21.6,92,97,1.19,LA,1686962647
523,east london,-33.0153,27.9116,19.88,36,0,3.7,ZA,1686962647
524,la gi,10.6667,107.7833,28.28,77,100,2.93,VN,1686962648
525,muang phon-hong,18.4928,102.4172,26.14,89,98,0.63,LA,1686962648
526,altayskoye,51.9533,85.3325,16.68,64,1,1.64,RU,1686962648
527,camana,-16.6228,-72.7111,18.38,79,37,1.33,PE,1686962648
528,muroto-misakicho,33.2833,134.15,22.78,76,100,2.92,JP,1686962648
529,haiku-pauwela,20.9219,-156.3051,30.01,42,40,10.8,US,1686962649
530,hilo,19.7297,-155.09,28.49,72,100,3.09,US,1686962649
531,kuqa,41.7278,82.9364,25.16,25,0,5.74,CN,1686962649
532,gardner,42.5751,-71.9981,19.45,84,100,0.0,US,1686962649
533,port augusta,-32.5,137.7667,15.66,35,7,8.93,AU,1686962649
534,minab,27.1467,57.0801,29.78,81,6,1.6,IR,1686962649
535,shimoda,34.6667,138.95,26.2,67,0,1.25,JP,1686962650
536,arar,30.9753,41.0381,27.01,22,0,4.12,SA,1686962650
537,nuzvid,16.7833,80.85,33.47,38,96,6.72,IN,1686962650
538,antonio enes,-16.2325,39.9086,21.76,81,0,1.38,MZ,1686962650
539,piti village,13.4626,144.6933,31.28,72,20,7.2,GU,1686962650
540,buka,40.8108,69.1986,24.32,34,1,2.46,UZ,1686962651
541,birjand,32.8663,59.2211,23.26,13,0,4.12,IR,1686962651
542,callao,-12.0667,-77.15,22.16,73,0,6.17,PE,1686962550
543,samdrup jongkhar,26.9167,91.6167,21.3,94,89,1.33,BT,1686962651
544,floro,61.5996,5.0328,17.04,94,42,0.0,NO,1686962651
545,phang nga,8.4509,98.5298,28.02,85,95,1.33,TH,1686962651
546,garbahaarrey,3.3289,42.2209,23.5,75,94,7.64,SO,1686962651
547,kotabumi,-4.8333,104.9,25.17,83,39,0.66,ID,1686962652
548,greenville,35.6127,-77.3663,28.09,100,40,0.0,US,1686962331
549,zhangjiakou,40.81,114.8794,28.27,28,84,2.3,CN,1686962652
550,kirensk,57.7853,108.1119,18.77,50,45,1.65,RU,1686962652
551,box elder,41.5005,-112.8764,19.25,37,44,0.16,US,1686962652
552,itaituba,-4.2761,-55.9836,25.09,100,20,4.12,BR,1686962652
553,suomussalmi,64.8869,28.9078,7.31,75,27,2.63,FI,1686962653
554,nyagan,62.1406,65.3936,5.66,64,13,4.25,RU,1686962653
555,illizi,26.4833,8.4667,28.89,22,27,2.58,DZ,1686962653
556,salalah,17.0151,54.0924,29.05,89,75,2.06,OM,1686962653
557,el abiodh sidi cheikh,32.893,0.5484,27.51,24,27,1.87,DZ,1686962653
558,vilyuysk,63.7553,121.6247,16.5,60,100,4.53,RU,1686962653
559,sao miguel do iguacu,-25.3481,-54.2378,11.69,99,87,1.19,BR,1686962654
560,bathsheba,13.2167,-59.5167,28.34,78,40,6.17,BB,1686962654
561,taulaga,-11.0553,-171.0883,28.63,77,24,5.02,AS,1686962654
562,boundiali,9.5217,-6.4869,22.26,93,100,1.92,CI,1686962654
563,bichura,50.5881,107.6022,12.7,96,100,2.68,RU,1686962655
564,mariehamn,60.0973,19.9348,7.92,87,0,1.03,AX,1686962656
565,uyovu,-3.2833,31.5258,17.37,59,70,1.33,TZ,1686962656
566,uturoa,-16.7333,-151.4333,27.24,77,8,8.77,PF,1686962656
567,pocatello,42.8713,-112.4455,21.67,35,75,2.57,US,1686962592
568,twentynine palms,34.1356,-116.0542,34.52,19,54,2.14,US,1686962603
569,korla,41.7597,86.1469,24.79,30,9,0.67,CN,1686962657
570,pakxan,18.3778,103.6601,28.29,88,99,1.25,LA,1686962657
571,villa ojo de agua,-29.5,-63.6938,9.96,56,40,0.64,AR,1686962658
572,umluj,25.0213,37.2685,29.02,54,0,3.6,SA,1686962658
573,manor,19.75,72.9167,29.05,73,97,6.17,IN,1686962658
574,horta,38.5333,-28.6333,17.23,85,38,2.68,PT,1686962658
575,derzhavinsk,51.1,66.3167,20.97,49,100,4.41,KZ,1686962658
576,nieuw amsterdam,5.8833,-55.0833,25.09,93,40,2.57,SR,1686962659
577,richards bay,-28.783,32.0377,16.91,72,0,6.2,ZA,1686962659
578,puerto carreno,6.189,-67.4859,21.55,95,100,3.14,CO,1686962659
579,khyzy,40.9058,49.0813,16.98,78,0,1.88,AZ,1686962659
580,male,4.1748,73.5089,28.97,84,75,5.14,MV,1686962659
581,cheat lake,39.672,-79.8534,18.34,91,75,0.89,US,1686962660
582,visakhapatnam,17.69,83.2093,29.94,66,75,1.54,IN,1686962660
